country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
Malta,149,100,120,6.6,EU
Monaco,0,0,0,0,EU
Montenegro,31,114,128,4.9,EU
Netherlands,251,88,190,9.4,EU
Norway,169,71,129,6.7,EU
Poland,343,215,56,10.9,EU
Portugal,194,67,339,11,EU
Moldova,109,226,18,6.3,EU
Romania,297,122,167,10.4,EU
San Marino,0,0,0,0,EU
Serbia,283,131,127,9.6,EU
Slovakia,196,293,116,11.4,EU
Slovenia,270,51,276,10.6,EU
Spain,284,157,112,10,EU
Sweden,152,60,186,7.2,EU
Switzerland,185,100,280,10.2,EU
Macedonia,106,27,86,3.9,EU
Ukraine,206,237,45,8.9,EU
United Kingdom,219,126,195,10.4,EU
Antigua & Barbuda,102,128,45,4.9,A
Bahamas,122,176,51,6.3,A
Barbados,143,173,36,6.3,A
Belize,263,114,8,6.8,A
Canada,240,122,100,8.2,A
Costa Rica,149,87,11,4.4,A
Cuba,93,137,5,4.2,A
Dominica,52,286,26,6.6,A
Dominican Republic,193,147,9,6.2,A
El Salvador,52,69,2,2.2,A
Grenada,199,438,28,11.9,A
Guatemala,53,69,2,2.2,A
Haiti,1,326,1,5.9,A
Honduras,69,98,2,3,A
Jamaica,82,97,9,3.4,A
Mexico,238,68,5,5.5,A
Nicaragua,78,118,1,3.5,A
Panama,285,104,18,7.2,A
St. Kitts & Nevis,194,205,32,7.7,A
St. Lucia,171,315,71,10.1,A
St. Vincent & the Grenadines,120,221,11,6.3,A
Trinidad & Tobago,197,156,7,6.4,A
USA,249,158,84,8.7,A
Australia,261,72,212,10.4,OC
Cook Islands,0,254,74,5.9,OC
Fiji,77,35,1,2,OC
Kiribati,21,34,1,1,OC
Marshall Islands,0,0,0,0,OC
Micronesia,62,50,18,2.3,OC
Nauru,49,0,8,1,OC
New Zealand,203,79,175,9.3,OC
Niue,188,200,7,7,OC
Palau,306,63,23,6.9,OC
Papua New Guinea,44,39,1,1.5,OC
Samoa,105,18,24,2.6,OC
Solomon Islands,56,11,1,1.2,OC
Tonga,36,21,5,1.1,OC
Tuvalu,6,41,9,1,OC
Vanuatu,21,18,11,0.9,OC
Argentina,193,25,221,8.3,SA
Bolivia,167,41,8,3.8,SA
Brazil,245,145,16,7.2,SA
Chile,130,124,172,7.6,SA
Colombia,159,76,3,4.2,SA
Ecuador,162,74,3,4.2,SA
Guyana,93,302,1,7.1,SA
Paraguay,213,117,74,7.3,SA
Peru,163,160,21,6.1,SA
Suriname,128,178,7,5.6,SA
Uruguay,115,35,220,6.6,SA
Venezuela,333,100,3,7.7,SA
